id,h_mean,v_mean,s_mean,h_std,v_std,s_std,contrast,dissimilarity,homogeneity,asm,correlation,entropy,intensity_mean,intensity_std
946,179.74312,10.867008,169.30234,43.49511,33.43079,73.180275,6.138322580645161,1.5646451612903227,0.5288788198346619,0.02147973361082206,0.852553733006957,7.7378845,166.32713,73.41561
725,93.2307,99.599236,159.85236,122.46167,73.59711,73.81051,1.7972903225806451,0.7971612903225807,0.6893929320241274,0.02204240790842872,0.9514110877979516,7.92607,128.45224,68.58227
1681,0.0,0.0,172.53345,-0.0,0.0,81.44291,2.1178064516129034,0.8006451612903226,0.7096330356927862,0.0836505681581686,0.957270204973329,7.164021,172.53345,81.44291
490,18.426992,65.0208,187.56192,43.137215,38.203194,46.54937,3.137161290322581,0.9571612903225806,0.6707173807732558,0.034083843912591054,0.8032933360376248,7.38105,170.49661,44.8453
921,31.718445,168.65498,208.90591,31.560452,67.09789,42.81368,1.3005806451612905,0.7003225806451614,0.7010735930365216,0.07570089490114466,0.8887204185978124,6.730092,180.70656,38.59755
298,165.86023,34.89376,242.1383,59.280388,35.65247,21.489716,1.0489032258064517,0.5096774193548387,0.7921285431914301,0.1727611841831426,0.8393945443976321,5.858669,224.76321,29.814564
1034,3.1829703,2.216896,180.87392,58.02991,5.114434,82.20503,2.298516129032258,0.7665161290322581,0.7426409144646898,0.19753816649323622,0.953864640607994,6.0285187,180.48518,82.349525
1015,9.938123,85.51725,177.83827,61.65584,56.411827,65.262085,2.44483870967742,0.7638064516129033,0.7474634550347726,0.061683525494276796,0.9124512531057882,7.0532923,156.70566,59.69089
112,3.4797833,9.139712,223.5143,38.34449,24.369768,52.799088,2.019032258064516,0.6213548387096774,0.7958352095461129,0.3765145286160249,0.9077455211256422,5.2558546,221.69865,54.724743
1048,156.30309,27.54144,135.5232,63.991753,23.855972,60.286224,0.7266451612903226,0.44741935483870965,0.8019046456820271,0.039750863683662846,0.9751550128139795,7.6538477,128.38567,61.02375
1475,0.0,0.0,216.98329,-0.0,0.0,46.594643,1.5107096774193551,0.683483870967742,0.7308695675291264,0.16304414776274712,0.9051301712290365,6.2168922,216.98329,46.594643
1827,24.182007,45.48288,140.3255,145.77017,37.672604,56.54656,1.5758709677419356,0.7944516129032259,0.6744897052708817,0.02430552133194589,0.935362274847468,7.6688385,128.19078,55.78855
273,136.90352,34.765377,147.75334,94.21988,42.566444,31.789526,0.4154193548387097,0.2996774193548387,0.8616261859582544,0.07872118002081166,0.9586173898131862,7.1009808,139.12468,35.511696
1646,0.0,0.0,184.4183,-0.0,0.0,67.36788,6.9874193548387105,1.5803225806451615,0.552859937222846,0.031503119667013524,0.798878654777781,7.357177,184.4183,67.36788
1873,22.60512,55.556736,188.38701,52.592865,45.410507,52.552036,2.403935483870968,0.9817419354838709,0.6301821047983699,0.03255052237252861,0.8867942262309447,7.41599,172.9713,51.73414
1684,5.441412,29.233152,74.02707,50.96326,50.5014,50.376114,1.0191612903225804,0.5789032258064515,0.7494735296090134,0.0433215026014568,0.9452168136525514,7.421093,70.95852,48.84695
293,0.59952813,227.81517,100.087875,11.691836,42.790276,54.87308,0.7639354838709677,0.40393548387096767,0.8300175120617626,0.21542983350676376,0.8954811936989875,6.200274,40.618366,30.06543
804,10.304898,78.51162,163.07884,29.14804,38.419518,59.891655,0.8006451612903226,0.5016774193548387,0.777561277698659,0.05251491571279916,0.9704042703524833,7.4430647,140.08228,58.78002
1733,177.13243,51.743614,91.587326,34.76314,47.601067,49.5033,2.3216774193548386,0.955741935483871,0.6381292909247012,0.026461103017689905,0.8744396702892168,7.5281086,83.69185,48.567577
327,171.91704,71.56902,151.95366,142.10721,47.694923,50.485374,0.7060645161290323,0.38761290322580644,0.8353295529948281,0.05978988137356919,0.9537816155089194,7.3680468,130.94557,43.931843
1025,8.423968,93.340546,127.48781,22.156633,46.03323,59.83683,1.964451612903226,0.8036774193548388,0.6945077733918477,0.046683252861602506,0.9156792955819162,7.280429,105.645325,55.526703
77,2.5410225,16.805696,197.57703,21.069695,34.407524,61.297886,5.893290322580645,1.3683870967741936,0.6086707475809462,0.09120874505723206,0.8078117759569251,6.9114,192.14474,63.92437
1462,11.847455,133.57619,58.52352,34.694923,64.70105,33.400818,0.27922580645161293,0.24232258064516132,0.882519924098672,0.10952780853277841,0.9590521066386715,6.6234794,46.670216,29.619112
1631,102.931366,164.83853,84.379265,114.234344,57.074677,54.533962,0.6679354838709677,0.38380645161290317,0.8343804291305843,0.08311547762747139,0.9496005094810396,6.926092,57.37608,40.54279
1479,170.07178,69.60141,45.549248,48.963287,64.74793,38.8377,0.5295483870967742,0.23148387096774192,0.9076634891730146,0.17364159417273678,0.941324683596248,5.863919,36.05872,34.711437
